mews_name,mews_clean,lon,lat,type,loctype,address,north,south,east,west
canning-place-mews,"Canning Place Mews, London",-0.1842954,51.499849,route,geometric_center,"canning place mews, south kensington, london w8, uk",51.5010697302915,51.4983717697085,-0.182940819708498,-0.185638780291502
camden-mews,"Camden Mews, London",-0.1317219,51.5461276,route,geometric_center,"camden mews, london nw1, uk",51.5491139,51.5435181,-0.1278839,-0.1352279
cambridge-gate-mews,"Cambridge Gate Mews, London",-0.1444805,51.5264888,route,geometric_center,"cambridge gate mews, london nw1, uk",51.5278081302915,51.5251101697085,-0.143216419708498,-0.145914380291502
cadogan-lane,"Cadogan Lane, London",-0.1566574,51.4962015,route,geometric_center,"cadogan ln, belgravia, london sw1x, uk",51.4978221,51.4947022,-0.155415169708498,-0.158113130291502
burton-mews,"Burton Mews, London",-0.1513047,51.4929908,route,geometric_center,"burton mews, belgravia, london sw1w, uk",51.4943542302915,51.4916562697085,-0.150000619708498,-0.152698580291502
burma-mews,"Burma Mews, London",-0.0879582,51.5558669,route,geometric_center,"burma rd, stoke newington, london, uk",51.5572789302915,51.5545809697085,-0.086974369708498,-0.0896723302915021
buckingham-mews,"Buckingham Mews, London",-0.1413727,51.499566,route,geometric_center,"buckingham mews, westminster, london, uk",51.5008354802915,51.4981375197085,-0.139851119708498,-0.142549080291502
bryanston-mews-west,"Bryanston Mews West, London",-0.1619628,51.5176521,route,geometric_center,"bryanston mews w, marylebone, london w1h, uk",51.5187914802915,51.5160935197085,-0.160511419708498,-0.163209380291502
bryanston-mews-east,"Bryanston Mews East, London",-0.1601625,51.518294,route,geometric_center,"bryanston mews e, marylebone, london w1h, uk",51.5196972302915,51.5169992697085,-0.158850019708498,-0.161547980291502
bruton-place,"Bruton Place, London",-0.1451522,51.5109183,route,geometric_center,"bruton pl, mayfair, london, uk",51.5122838302915,51.5095858697085,-0.143594269708498,-0.146292230291502
brunswick-mews,"Brunswick Mews, London",-0.1595827,51.515936,route,geometric_center,"brunswick mews, marylebone, london w1h, uk",51.5172750802915,51.5145771197085,-0.158244169708498,-0.160942130291502
brownlow-mews,"Brownlow Mews, London",-0.1156538,51.523591,route,geometric_center,"brownlow mews, holborn, london wc1n, uk",51.5249242802915,51.5222263197085,-0.114247069708498,-0.116945030291502
browning-mews,"Browning Mews, London",-0.1493491,51.5191491,route,geometric_center,"browning mews, marylebone, london w1g, uk",51.5205328302915,51.5178348697085,-0.148050719708498,-0.150748680291502
brooks-mews,"Brooks Mews, London",-0.1467884,51.5123902,route,geometric_center,"brook's mews, mayfair, london w1k, uk",51.5137138802915,51.5110159197085,-0.145578519708498,-0.148276480291502
brook-mews-north,"Brook Mews North, London",-0.1782544,51.5131514,route,geometric_center,"brook mews n, bayswater, london w2, uk",51.5143321302915,51.5116341697085,-0.176982119708498,-0.179680080291502
brondesbury-mews,"Brondesbury Mews, London",-0.1983916,51.5415284,premise,rooftop,"brondesbury mews, willesden ln, north maida vale, london nw6 7ra, uk",51.5428671302915,51.5401691697085,-0.197040019708498,-0.199737980291502
broadstone-place,"Broadstone Place, London",-0.1552997,51.5187577,route,geometric_center,"broadstone pl, marylebone, london w1u, uk",51.5202376302915,51.5175396697085,-0.153979569708498,-0.156677530291502
bourdon-street,"Bourdon Street, London",-0.1457198,51.5110287,route,geometric_center,"bourdon st, mayfair, london w1k, uk",51.5127547302915,51.5100567697085,-0.1446242,-0.1473788
botts-mews,"Botts Mews, London",-0.1948455,51.5154922,route,geometric_center,"bott's mews, london, uk",51.5168523302915,51.5141543697085,-0.193490219708498,-0.196188180291502
boston-place,"Boston Place, London",-0.1629333,51.5240204,route,geometric_center,"boston pl, marylebone, london nw1, uk",51.5250845,51.522288,-0.161410369708498,-0.164108330291502
boscobel-place,"Boscobel Place, London",-0.1516679,51.4946529,route,geometric_center,"boscobel pl, belgravia, london sw1w, uk",51.4959754302915,51.4932774697085,-0.150307969708498,-0.153005930291502
bolton-gardens-mews,"Bolton Gardens Mews, London",-0.1864304,51.489301,route,geometric_center,"bolton gardens mews, kensington, london sw5, uk",51.4906297802915,51.4879318197085,-0.185054819708498,-0.187752780291502
blackstock-mews,"Blackstock Mews, London",-0.1007529,51.5621342,route,geometric_center,"blackstock mews, finsbury park, london n4, uk",51.5634741302915,51.5607761697085,-0.099399019708498,-0.102096980291502
berkeley-mews,"Berkeley Mews, London",-0.15757,51.5153899,route,geometric_center,"berkeley mews, marylebone, london w1h, uk",51.5167438802915,51.5140459197085,-0.156303219708498,-0.159001180291502
bentinck-mews,"Bentinck Mews, London",-0.1502162,51.517473,route,geometric_center,"bentinck mews, marylebone, london w1u, uk",51.5188273802915,51.5161294197085,-0.148937969708498,-0.151635930291502
bendall-mews,"Bendall Mews, London",-0.1655301,51.5218904,route,geometric_center,"bendall mews, marylebone, london nw1, uk",51.5231499802915,51.5204520197085,-0.164135319708498,-0.166833280291502
belsize-court-garages,"Belsize Court Garages, London",-0.1709004,51.5500659,premise,rooftop,"belsize court garages, belsize ln, belsize park, london nw3 5aj, uk",51.5514174802915,51.5487195197085,-0.169531219708498,-0.172229180291502
bellevue-mews,"Bellevue Mews, London",-0.1487975,51.6150429,route,geometric_center,"bellevue mews, friern barnet, london n11, uk",51.6163438302915,51.6136458697085,-0.147705769708498,-0.150403730291502
belgrave-mews-west,"Belgrave Mews West, London",-0.1550244,51.4979858,route,geometric_center,"belgrave mews w, belgravia, london sw1x, uk",51.4995013302915,51.4968033697085,-0.153864219708498,-0.156562180291502
belgrave-mews-south,"Belgrave Mews South, London",-0.1513923,51.4985076,route,geometric_center,"belgrave mews s, belgravia, london sw1x, uk",51.4994645802915,51.4967666197085,-0.150693719708498,-0.153391680291502
belgrave-mews-north,"Belgrave Mews North, London",-0.1554306,51.50004,route,geometric_center,"belgrave mews n, belgravia, london sw1x, uk",51.5015542802915,51.4988563197085,-0.153875619708498,-0.156573580291502
